id,city,weather,temperature,temperature_f,timestamp,timestamp_local,feels_like,feels_like_f,wind_speed,humidity
52,Zurich,broken clouds,7.16,44.89,2025-01-24 17:36:41,2025-01-24 18:36:41+01:00,5.83,42.49,2.06,65.0
53,Norilsk,broken clouds,-36.39,-33.5,2025-01-24 17:36:41,2025-01-25 00:36:41+07:00,-43.39,-46.1,3.39,96.0
54,Nashville,broken clouds,-0.08,31.86,2025-01-24 17:36:42,2025-01-24 11:36:42-06:00,-3.19,26.26,2.57,54.0
55,Bloomington,clear sky,-7.11,19.2,2025-01-24 17:57:13,2025-01-24 11:57:13-06:00,-14.11,6.6,6.26,57.0
56,Marquette,clear sky,-10.54,13.03,2025-01-24 17:57:13,2025-01-24 12:57:13-05:00,-14.36,6.15,1.79,70.0
57,Baraboo,clear sky,-8.85,16.07,2025-01-24 17:57:13,2025-01-24 11:57:13-06:00,-15.85,3.47,5.66,50.0
58,Zurich,broken clouds,7.24,45.03,2025-01-24 17:57:13,2025-01-24 18:57:13+01:00,5.92,42.66,2.06,65.0
59,Norilsk,broken clouds,-36.49,-33.68,2025-01-24 17:57:13,2025-01-25 00:57:13+07:00,-43.49,-46.28,3.68,95.0
60,Nashville,few clouds,0.27,32.49,2025-01-24 17:57:14,2025-01-24 11:57:14-06:00,-3.66,25.41,3.6,49.0
61,Bloomington,clear sky,-5.65,21.83,2025-01-24 18:44:43,2025-01-24 12:44:43-06:00,-12.65,9.23,6.71,52.0
62,Marquette,clear sky,-10.21,13.62,2025-01-24 18:44:43,2025-01-24 13:44:43-05:00,-10.21,13.62,0.89,72.0
63,Baraboo,clear sky,-8.54,16.63,2025-01-24 18:44:43,2025-01-24 12:44:43-06:00,-15.54,4.03,5.66,55.0
64,Zurich,broken clouds,7.57,45.63,2025-01-24 18:44:43,2025-01-24 19:44:43+01:00,4.71,40.48,4.63,61.0
65,Norilsk,broken clouds,-35.84,-32.51,2025-01-24 18:44:44,2025-01-25 01:44:44+07:00,-42.84,-45.11,3.67,95.0
66,Nashville,few clouds,1.26,34.27,2025-01-24 18:44:44,2025-01-24 12:44:44-06:00,-0.38,31.32,1.54,45.0
67,Bloomington,clear sky,-5.65,21.83,2025-01-24 18:49:03,2025-01-24 12:49:03-06:00,-12.65,9.23,6.71,52.0
68,Marquette,clear sky,-9.86,14.25,2025-01-24 18:49:03,2025-01-24 13:49:03-05:00,-14.32,6.22,2.24,71.0
69,Baraboo,clear sky,-8.24,17.17,2025-01-24 18:49:03,2025-01-24 12:49:03-06:00,-15.24,4.57,5.66,54.0
70,Zurich,broken clouds,7.57,45.63,2025-01-24 18:49:03,2025-01-24 19:49:03+01:00,4.71,40.48,4.63,61.0
71,Norilsk,broken clouds,-35.84,-32.51,2025-01-24 18:49:03,2025-01-25 01:49:03+07:00,-42.84,-45.11,3.67,95.0
72,Nashville,few clouds,1.33,34.39,2025-01-24 18:49:04,2025-01-24 12:49:04-06:00,-0.3,31.46,1.54,44.0
